Code;Name;ListingDate;Shares;ListingBoard;Sector;LastPrice;MarketCap;MinutesFirstAdded;MinutesLastUpdated;HourlyFirstAdded;HourlyLastUpdated;DailyFirstAdded;DailyLastUpdated
AALI;Astra Agro Lestari Tbk.;09/12/1997;1924688333;Utama;Consumer Non-Cyclicals;8000;1.53975E+13;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
ABBA;Mahaka Media Tbk.;03/04/2002;3935892857;Pengembangan;Consumer Cyclicals;142;5.58897E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;03/04/2002;06/01/2023
ABDA;Asuransi Bina Dana Arta Tbk.;06/07/1989;620806680;Pengembangan;Financials;6700;4.1594E+12;01/11/2021 09:00;11/11/2022 15:59;16/04/2020 09:00;11/11/2022 16:00;16/04/2001;06/01/2023
ABMM;ABM Investama Tbk.;06/12/2011;2753165000;Utama;Industrials;3050;8.39715E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;06/12/2011;06/01/2023
ACES;Ace Hardware Indonesia Tbk.;06/11/2007;17150000000;Utama;Consumer Cyclicals;490;8.4035E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;06/11/2007;06/01/2023
ACST;Acset Indonusa Tbk.;24/06/2013;12675160000;Utama;Infrastructures;156;1.97732E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;24/06/2013;06/01/2023
ADCP;Adhi Commuter Properti Tbk.;21/05/2021;22222222200;Utama;Properties & Real Estate;64;1.42222E+12;21/02/2022 09:00;06/01/2023 15:59;21/05/2021 09:00;06/01/2023 15:00;21/05/2021;06/01/2023
ADES;Akasha Wira International Tbk.;13/06/1994;589896800;Pengembangan;Consumer Non-Cyclicals;7125;4.20301E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
ADHI;Adhi Karya (Persero) Tbk.;18/03/2004;3560849376;Utama;Infrastructures;452;1.6095E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;18/03/2004;06/01/2023
ADMF;Adira Dinamika Multi Finance T;31/03/2004;1000000000;Utama;Financials;8850;8.85E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;31/03/2004;06/01/2023
ADMG;Polychem Indonesia Tbk;20/10/1993;3889179559;Utama;Basic Materials;150;5.83377E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
ADMR;Adaro Minerals Indonesia Tbk.;03/01/2022;40882331500;Pengembangan;Energy;1560;6.37764E+13;03/01/2022 09:00;06/01/2023 15:59;03/01/2022 09:00;06/01/2023 15:00;03/01/2022;06/01/2023
ADRO;Adaro Energy Indonesia Tbk.;16/07/2008;31985962000;Utama;Energy;3140;1.00436E+14;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/07/2008;06/01/2023
AGAR;Asia Sejahtera Mina Tbk.;02/12/2019;1000000000;Pengembangan;Consumer Non-Cyclicals;270;2.7E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;02/12/2019;06/01/2023
AGII;Aneka Gas Industri Tbk.;28/09/2016;3066660000;Utama;Basic Materials;1935;5.93399E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;28/09/2016;06/01/2023
AGRO;Bank Raya Indonesia Tbk.;08/08/2003;22520054593;Utama;Financials;406;9.14314E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;08/08/2003;06/01/2023
AGRS;Bank IBK Indonesia Tbk.;22/12/2014;17481603282;Pengembangan;Financials;89;1.55586E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;22/12/2014;06/01/2023
AHAP;Asuransi Harta Aman Pratama Tb;14/09/1990;2940000000;Pengembangan;Financials;64;1.8816E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
AIMS;Akbar Indo Makmur Stimec Tbk;20/07/2001;220000000;Pengembangan;Energy;274;60280000000;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;20/07/2001;06/01/2023
AISA;FKS Food Sejahtera Tbk.;11/06/1997;9311800000;Utama;Consumer Non-Cyclicals;142;1.32228E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
AKKU;Anugerah Kagum Karya Utama Tbk;01/11/2004;6449463636;Pengembangan;Consumer Cyclicals;50;3.22473E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;01/11/2004;06/01/2023
AKPI;Argha Karya Prima Industry Tbk;18/12/1992;612248000;Pengembangan;Basic Materials;1150;7.04085E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
AKRA;AKR Corporindo Tbk.;03/10/1994;20073474600;Utama;Energy;1270;2.54933E+13;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
AKSI;Mineral Sumberdaya Mandiri Tbk;13/07/2001;720000000;Pengembangan;Transportation & Logistic;406;2.9232E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;13/07/2001;06/01/2023
ALDO;Alkindo Naratama Tbk.;12/07/2011;1316856020;Pengembangan;Basic Materials;800;1.05348E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;12/07/2011;06/01/2023
ALKA;Alakasa Industrindo Tbk;12/07/1990;507665055;Pengembangan;Basic Materials;600;3.04599E+11;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
ALMI;Alumindo Light Metal Industry ;02/01/1997;3816000000;Pengembangan;Basic Materials;292;1.11427E+12;01/11/2021 09:00;06/01/2023 15:59;16/04/2020 09:00;06/01/2023 15:00;16/04/2001;06/01/2023
